X	slow 20 uM	slow 15 uM	slow 10 uM	slow 7.5 uM	slow 5 uM	slow 3.75 uM	slow 2.5 uM	slow 1.9 uM	slow 1.25 uM	slow 0.9 uM	fast 20 uM	fast 15 uM	fast 10 uM	fast 7.5 uM	fast 5 uM	fast 3.75 uM	fast 2.5 uM	fast 1.9 uM	fast 1.25 uM	fast 0.9 uM
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.220446049250313e-16	0.0	0.0
0.11055276381909548	0.0016706807060672402	0.0008077100365510015	0.00030596358754952924	0.00015892253495464193	6.582767484353269e-05	3.605532726191907e-05	1.574544353066809e-05	9.050173903291103e-06	3.905592459552132e-06	2.023103395143444e-06	0.023506286673202204	0.011234232076158368	0.004185650994269818	0.0021417672083988704	0.0008611316877416009	0.00046016315916375117	0.00019495334420449595	0.00011051137737005945	4.7152454875853955e-05	2.4334925097457827e-05
0.22110552763819097	0.02439449783554648	0.008431160197360121	0.0021557481674022716	0.0009058465478364308	0.0003079529014875515	0.0001561085836612186	6.471802082963496e-05	3.6658549035228916e-05	1.568017525221954e-05	8.103483463806072e-06	0.3630863169057136	0.14915758372879617	0.040083527345399106	0.016467653038720775	0.0051213504595418735	0.0023783825443363105	0.0008791249497592801	0.00047168727104396346	0.00019287204735785046	9.821093865380881e-05
0.3316582914572864	0.24787062119929748	0.06822963991412023	0.01110393866645032	0.0035044085561025673	0.0008904026711188395	0.0003997403478922523	0.0001523258369903191	8.422637921223775e-05	3.5499686979023615e-05	1.8275149490931675e-05	0.9575281236476801	0.7386745240946189	0.2547084192075104	0.09047399289616775	0.020860277248242354	0.00797304803279908	0.002400280501056007	0.0011804773861235907	0.0004504112932944837	0.00022431201531269984
0.44221105527638194	0.8240957750886474	0.38106153168832146	0.05217291602577123	0.012271062765626173	0.002206297999890916	0.0008471634563167463	0.000288243671447308	0.00015417016282681661	6.36613258829799e-05	3.259547828515785e-05	0.9994779892723066	0.9866840872522465	0.7489827489242962	0.3634271788364345	0.07493187458386152	0.0234890635853916	0.005524656470800249	0.002426448005229065	0.0008432085849723325	0.0004072410963494866
0.5527638190954774	0.9871030549892638	0.8368621039695234	0.20828993295211407	0.04088599433177009	0.005136091132478815	0.0016452572322988024	0.00048747032916574007	0.0002500429947556171	0.00010058792077183298	5.114552637763836e-05	0.9999946903911524	0.999607521792626	0.9683727420409278	0.7697330763396133	0.23023273974747827	0.06457282284613142	0.011795002709496738	0.0045402123307030084	0.001406945669299331	0.0006536808830870378
0.6633165829145728	0.9992420943366014	0.9769659244663728	0.5452191571520141	0.1255899084850175	0.011602003127444305	0.0030546217455897917	0.0007719622577115892	0.0003767128532432551	0.0001468341716728272	7.403047576926003e-05	0.9999999465453611	0.9999890506088892	0.9971181081961804	0.9530251395981841	0.5182237717273332	0.16229632157828677	0.02418316142763821	0.008074875578183649	0.002192650685981734	0.0009726274371334442
0.7738693467336684	0.9999563255705252	0.9971478401882956	0.8347465641006999	0.31918209317011503	0.025664233830782646	0.005531087335855167	0.0011730114869715758	0.0005406063006180295	0.00020309484539626776	0.00010138021535976982	0.9999999994621238	0.9999996958518561	0.9997506388926396	0.992116621274056	0.7886756892421999	0.34656193885679265	0.048090082474962936	0.013933602698526282	0.0032710646392999365	0.0013757031382676255
0.8844221105527639	0.9999974871358986	0.9996528696815238	0.9522468492230163	0.5905501290864639	0.055327562225546356	0.009862199457156162	0.0017346064134932115	0.0007500290715366509	0.00027021503843183137	0.0001333500608995397	0.9999999999945879	0.9999999915542974	0.9999785712095821	0.9987302791873339	0.9260354182192501	0.583187255016121	0.0922953284015765	0.023554379545261073	0.004738551448805084	0.0018775575568228398
0.9949748743718594	0.999999855436539	0.9999578391700581	0.9870489864821651	0.8048019842592706	0.1141172399237308	0.017384726651327953	0.002518099775338345	0.0010155784080728703	0.0003492026478321142	0.0001701216170398867	0.9999999999999455	0.9999999997654825	0.9999981601535043	0.9997970348381887	0.976266107485446	0.779325775098183	0.16805277722905954	0.039143223810634176	0.006724877695839293	0.002496366690594054
1.105527638190955	0.9999999916834346	0.9999948806100616	0.996536573912087	0.917437565916463	0.21776981917829508	0.03030053453992898	0.003608608884248188	0.0013506658427296925	0.000441243220239973	0.00021190378578272995	0.9999999999999994	0.999999999993488	0.9999998420513212	0.9999675998294474	0.9925819943414668	0.8955920398358809	0.28284980804799387	0.06388316997591781	0.00940319145230728	0.003254442683051084
1.2160804020100504	0.9999999995215582	0.9999993783950488	0.9990765104169066	0.966571224609101	0.3690752368475385	0.05204907473567855	0.00512368132113683	0.0017721734583189264	0.0005477173802174162	0.0002589339263771029	1.0	0.9999999999998191	0.9999999864404887	0.9999948290721631	0.9976984632255192	0.9530463763231961	0.4292722650944646	0.10190368000443384	0.013002440208954247	0.004178967382094445
1.3266331658291457	0.9999999999724758	0.9999999245239445	0.9997539097751531	0.9866499266029234	0.5419138201095424	0.08751232499189288	0.007224852552946581	0.002301271432731733	0.0006702210716527102	0.00031147917246410195	1.0	0.999999999999995	0.999999998835951	0.9999991747775318	0.9992873427793026	0.9792981212275137	0.5822645778790534	0.1575937885707811	0.017822199260577598	0.005302863600277874
