X	100-6.4	100-5	100-4	100-3.2	100-2.5	100-2	100-1.6	100-1.25
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.039644723618090454	0.0006300213284847755	0.00038061463544603047	0.0002424861659077182	0.0001548300514644385	9.438022041052818e-05	6.036911613394036e-05	3.8625033389805274e-05	2.3571093746510563e-05
0.07928944723618091	0.002671064637558729	0.001565471573311994	0.0009839024996107781	0.0006238734811678803	0.00037884583555836127	0.00024191270444007262	0.00015464474729798283	9.432754388138953e-05
0.11893417085427135	0.006610101691724157	0.0036881389150662525	0.0022668604257255476	0.0014209106557663276	0.0008573879551627694	0.0005459421410909382	0.00034849341861986627	0.0002123989167023277
0.15857889447236181	0.013377667365775281	0.0069866470154142934	0.004164862088845811	0.0025693122190595385	0.0015367126505438922	0.0009746519090658712	0.0006208962940814633	0.0003780013546708094
0.19822361809045227	0.024543943400156643	0.011827680315861122	0.006786103674562893	0.004102649423030402	0.002426322495425959	0.0015311328857491313	0.000972871766789174	0.0005914378741129767
0.2378683417085427	0.042620748751213244	0.018742340932124124	0.010278944862481043	0.006065558438695273	0.003538631108158996	0.002219390950842004	0.001405734420688587	0.0008530987814999724
0.27751306532663317	0.07146590568788114	0.028474646852779117	0.014839155671773296	0.008514866709576907	0.004889111005722091	0.003044370915502137	0.0019210989399601752	0.0011634622077941748
0.31715778894472363	0.1167010126052348	0.04204269691218421	0.02071902397258485	0.011520988865750481	0.006496475056370965	0.004011985767510051	0.002520884879161245	0.0015230947601868605
0.3568025125628141	0.1858174967356746	0.0608089559748346	0.028238311255098902	0.015169596485789194	0.008382891700497996	0.005129151216099803	0.0032073222884090313	0.00193265229037487
0.39644723618090455	0.2871361186776362	0.08654838455063174	0.03779683631267372	0.019563558819530313	0.010574233866243898	0.0064038255024714275	0.003982958186033003	0.002392880778331663
0.436091959798995	0.4260406535480771	0.12148801979210155	0.04988807884833579	0.024825138744274167	0.013100361098483115	0.007845054416328212	0.00485066386881694	0.002904617330320103
0.4757366834170854	0.5969295764739859	0.1682651327830348	0.06511253031098685	0.03109840739805958	0.01599543379900803	0.009463021423230078	0.005813643047125394	0.0034687912896591566
0.5153814070351759	0.7735065860609796	0.22971077396236517	0.08418844631959443	0.03855180904751887	0.019298257583261202	0.011269102760054106	0.006875440788773779	0.00408642545850002
0.5550261306532663	0.9115227561751962	0.30831811407589016	0.1079560158526981	0.04738076085952503	0.02305265452336236	0.013275927294027379	0.008039953251363308	0.00475863742858007
0.5946708542713568	0.9808965448949666	0.4052345771728775	0.137368606982323	0.05781010546557863	0.027307856382367768	0.015497440861922285	0.009311438177845854	0.005486641018603744
0.6343155778894473	0.9984315283180041	0.5187144160030244	0.1734616291765777	0.0700961417831455	0.03211891274829248	0.017948974706994525	0.010694526124204184	0.00627174781554507
0.6739603015075377	0.9999733892903293	0.642345959716693	0.2172859257301092	0.08452783525927254	0.03754710412856499	0.02064731750855897	0.012194232381200432	0.007115368816768997
0.7136050251256282	0.9999999654927427	0.7641474220516266	0.26978942105783066	0.10142664675876734	0.04366034642879857	0.023610790348787103	0.013815969544017426	0.00801901616942935
0.7532497487437186	0.9999999999993244	0.8684594678032511	0.3316302315668418	0.12114421629020689	0.05053356866057046	0.026859323778898547	0.01556556067415149	0.008984305003112536
0.7928944723618091	1.0	0.9419978062619838	0.4029108662821683	0.1440568958777073	0.058249040036263966	0.03041453592747667	0.017449252986945996	0.010012955351152986
0.8325391959798996	1.0	0.9816033066232562	0.48284314155846664	0.17055585856751942	0.06689661564703919	0.03429981033173746	0.019473731985500287	0.011106794155443134
0.87218391959799	1.0	0.9963240397218907	0.569394662797316	0.2010312508906439	0.07657386152694878	0.03854037186234249	0.021646135947171463	0.012267757348899289
0.9118286432160805	1.0	0.9996157655886178	0.6590331161337268	0.23584866878318178	0.08738600996262857	0.04316335874755206	0.02397407065228807	0.013497892009005863
0.9514733668341708	1.0	0.9999838122346355	0.746759449113211	0.2753162333572895	0.09944568436715118	0.04819788827667881	0.026465624225807227	0.014799358575054544
0.9911180904522613	1.0	0.999999809298798	0.8266545704292265	0.3196408965729324	0.11287231997778568	0.0536751132694564	0.02912938194123671	0.016174433120802023
1.0307628140703518	1.0	0.9999999996238038	0.8930634802424173	0.36887356245482006	0.12779119234055425	0.05962826583085645	0.031974440811968985	0.017625509673293127
1.0704075376884423	1.0	0.9999999999999395	0.9422192949980518	0.4228444704947275	0.144331950591856	0.06609268426459591	0.035010423767977694	0.01915510256752384
1.1100522613065327	1.0	1.0	0.9736311180642011	0.4810933577256741	0.16262653795625115	0.07310581828888385	0.0382474931853668	0.020765848825445854
1.1496969849246232	1.0	1.0	0.9902964818870253	0.54280335691524	0.1828063692680697	0.08070720688277921	0.041696363502250255	0.022460510546532864
1.1893417085427136	1.0	1.0	0.9972857437028366	0.6067531612384149	0.20499862710903183	0.08893842219191894	0.045368312616651085	0.024241977295734074
1.2289864321608042	1.0	1.0	0.9994647257531286	0.6713076641744321	0.22932153776381703	0.09784297194386482	0.04927519172026351	0.026113268473117457
1.2686311557788945	1.0	1.0	0.9999323824611089	0.7344708300719791	0.2558785002784202	0.10746615177758645	0.05342943317581916	0.028077535647860863
1.3082758793969849	1.0	1.0	0.9999951579691633	0.7940223361504278	0.2847509724722834	0.11785483779861683	0.05784405599521725	0.030138064837453404
1.3479206030150754	1.0	1.0	0.9999998317915536	0.8477471312206243	0.315990074170468	0.12905720856193592	0.06253266842038807	0.032298278711040074
