X	slow 20 uM	slow 15 uM	slow 10 uM	slow 7.5 uM	slow 5 uM	slow 3.75 uM	slow 2.5 uM	slow 1.9 uM	slow 1.25 uM	slow 0.9 uM	fast 20 uM	fast 15 uM	fast 10 uM	fast 7.5 uM	fast 5 uM	fast 3.75 uM	fast 2.5 uM	fast 1.9 uM	fast 1.25 uM	fast 0.9 uM
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.11055276381909548	0.000562719182410798	0.00027895748792328146	0.00010844760777728446	5.687849617330709e-05	2.359827469300413e-05	1.2878548062422723e-05	5.594110461415447e-06	3.20809690679269e-06	1.3821338442632225e-06	7.155878555265005e-07	0.07098706080367356	0.035928796555416254	0.014122067306884922	0.007425862138786488	0.003084134734779642	0.001683209425186738	0.0007309584223230692	0.00041909036528819943	0.00018049197788039262	9.342590329186606e-05
0.22110552763819097	0.007471094062674544	0.0027636383742608572	0.0007694113593968988	0.0003351271121114774	0.00011482195735634804	5.743203771024774e-05	2.332103977897848e-05	1.3092070690667867e-05	5.562903475642145e-06	2.869193860277619e-06	0.5793025620730643	0.2947000526065857	0.0959531830723711	0.04323869614536857	0.015036964010260667	0.0075392861615175555	0.0030611980253364424	0.0017171814981860045	0.0007286650311707499	0.0003754715952890564
0.3316582914572864	0.0808340596491176	0.021870407008097503	0.004020852531200436	0.0013604462904326375	0.0003526082261463559	0.00015412893606958633	5.617381932598864e-05	3.0451950789323057e-05	1.264626552810455e-05	6.4814105225075025e-06	0.9880369160139001	0.8591513420411551	0.3856159472500925	0.16144019439880175	0.045730333170401316	0.020295931449886728	0.007423766974057666	0.004019938485122054	0.0016648099295724084	0.0008514684176699205
0.44221105527638194	0.5574845431831963	0.15411274291434784	0.019700605839562124	0.005059398682817684	0.0009424593423129624	0.00034736966242820966	0.00010969828515272617	5.66927355349911e-05	2.2808343095981343e-05	1.1586776615057914e-05	0.9999587925701959	0.9963054869652612	0.818266410963171	0.4422293455474735	0.11647887453743622	0.0454863862257906	0.014609670801659647	0.007547429136715467	0.003023407799778388	0.0015303932123333919
0.5527638190954774	0.9844584589948666	0.6521953088377437	0.09109823600834799	0.018245215076182597	0.0023925374661540877	0.0007257887227185567	0.0001929268909731663	9.393783274536105e-05	3.630179247449128e-05	1.8234106213710355e-05	0.9999999013837854	0.9999573918423187	0.9801815182059791	0.7819278812692085	0.2577041657238508	0.09248269392913344	0.025866607310773504	0.012629730096126113	0.0048541183140144994	0.0024250050317065064
0.6633165829145728	0.9999376128125528	0.9790152159075977	0.34567567745348293	0.06352229330192016	0.005942404844085147	0.001462586607595906	0.0003198975302963758	0.00014520038814558323	5.3462065735310205e-05	2.6486953663473756e-05	0.9999999997718961	0.9999995714745223	0.9986539725046765	0.9500469334717581	0.47506887941204623	0.1738281454473405	0.04301439866105705	0.019727597794523044	0.007223145406236364	0.003552035990479152
0.7738693467336684	0.9999998338981405	0.9996686315887836	0.7732117853626541	0.2008215972160211	0.014568916743270877	0.0028935871229747168	0.0005120089374893722	0.00021462616095369036	7.471572245709712e-05	3.6424218839870015e-05	0.9999999999994739	0.9999999957654417	0.9999192086542056	0.9913530551020021	0.7034909317880086	0.2987958673918605	0.06852134482031402	0.02945571603099073	0.010214951568949693	0.004932435366349575
0.8844221105527639	0.9999999995754576	0.9999961449765518	0.9701839428617528	0.4943914058120442	0.035172034254576934	0.005665737844240515	0.0008015992236442004	0.0003078272302374785	0.00010059099377623948	4.8140898374793295e-05	0.9999999999999988	0.9999999999582465	0.9999952751720844	0.998640977493446	0.8629547813489358	0.46002111426776127	0.10542032733296647	0.04260320827339925	0.01393426632276884	0.006591665279698455
0.9949748743718594	0.9999999999989189	0.9999999570644036	0.9976631350789065	0.8092372429521755	0.08241009095475138	0.01101259145223088	0.0012373264597959066	0.0004323328741940857	0.0001317308564779962	6.174898988109412e-05	1.0	0.9999999999995884	0.9999997251142447	0.9997922836838603	0.9441843824240843	0.6275792925800561	0.1568661517125689	0.06014150488432779	0.018508294177341122	0.00856004507262298
1.105527638190955	0.9999999999999972	0.9999999995245061	0.9998418715483793	0.9550042790748976	0.18125585044644588	0.02124085316424129	0.001892202564459211	0.0005981929313334522	0.00016890893527798934	7.737855763567669e-05	1.0	0.9999999999999959	0.9999999840238222	0.9999684933193327	0.9786510980481338	0.767521900119899	0.22513861596150586	0.08320333574124439	0.02408896732727106	0.010873139727782699
1.2160804020100504	1.0	0.999999999994738	0.9999896427107949	0.9915957226554075	0.3534946341773002	0.04050341271194369	0.002875508096770951	0.0008187803831438689	0.00021304861908755246	9.517896967170536e-05	1.0	1.0	0.9999999990716629	0.9999952308184282	0.9920548615410846	0.8651418808818936	0.3101640194344121	0.11301015735653752	0.030855003299594563	0.013572185155814598
1.3266331658291457	1.0	0.9999999999999418	0.9999993261825267	0.9985513572435848	0.5754618985278644	0.07573740520304828	0.004350310885427033	0.0011118544192714186	0.0002652458533016766	0.00011532031781569252	1.0	1.0	0.9999999999460587	0.9999992784831565	0.9970762468555966	0.9252910905775066	0.4082389126366187	0.15072334239070562	0.039013413647091655	0.01670453975320174
1.4371859296482412	1.0	0.9999999999999993	0.9999999562240506	0.9997561597756968	0.7715767079831828	0.13689245303465059	0.006558903386086223	0.0015009635134703991	0.00032679615652464467	0.0001379950338851188	1.0	1.0	0.9999999999968657	0.9999998908596697	0.9989289194959223	0.9596775710669487	0.5121101134894634	0.19720547807151945	0.048799965678720914	0.020324147089145317
