X	slow only AB	slow AB brichos	fast only AB	fast AB brichos
0.10905	0.0012372657455911318	0.0	0.007875125950746353	6.848557795191557e-05
0.21316532663316584	0.00483111237314926	1.1102230246251565e-16	0.02938956734970377	0.0002701048888421598
0.31728065326633165	0.011131050457528824	1.1102230246251565e-16	0.06412747397111607	0.0006302674002390818
0.4213959798994975	0.020743059532795205	3.3306690738754696e-16	0.11185590192880657	0.0011940892734648711
0.5255113065326633	0.03453220355122977	1.1102230246251565e-16	0.17189842422681212	0.002031947434316894
0.6296266331658291	0.05359916394534148	4.440892098500626e-16	0.2426051118684297	0.00324778619958066
0.733741959798995	0.07920117160751383	4.440892098500626e-16	0.3211258779436209	0.0049910493878148054
0.8378572864321608	0.11258194847913838	4.440892098500626e-16	0.4036374347987586	0.007473120636606323
0.9419726130653266	0.1546917846630551	7.771561172376096e-16	0.4859731601573668	0.010989125986441195
1.0460879396984926	0.2058298392110257	9.992007221626409e-16	0.5643821685352312	0.01594550382955351
1.1502032663316584	0.2653196236782992	1.2212453270876722e-15	0.6360940278617098	0.022892432171635058
1.2543185929648242	0.33138423137566997	1.9984014443252818e-15	0.6995220008296688	0.032557310232091186
1.3584339195979902	0.4013447330840607	2.55351295663786e-15	0.7541464948946093	0.04587012225339815
1.462549246231156	0.47210940900419684	3.3306690738754696e-15	0.8002306755497285	0.06396311426487244
1.5666645728643218	0.540758699936849	4.884981308350689e-15	0.8385117808351372	0.08811708819779607
1.6707798994974876	0.6049962413120464	6.994405055138486e-15	0.869949123414217	0.11962063511464405
1.7748952261306534	0.6633450126644185	9.992007221626409e-15	0.895551987048345	0.15951950113742996
1.8790105527638192	0.7151108101063636	1.3988810110276972e-14	0.9162784346280323	0.20827635109534692
1.983125879396985	0.7602127143199676	1.9317880628477724e-14	0.9329854252322585	0.2654359535885975
2.087241206030151	0.7989790431049957	2.7533531010703882e-14	0.9464114449688587	0.3294554338537711
2.1913565326633164	0.8319686655917017	3.941291737419306e-14	0.9571775504263789	0.3978388442069757
2.2954718592964825	0.8598395438546824	5.617728504603292e-14	0.9657975621733123	0.4675777428935425
2.399587185929648	0.8832634689196468	7.949196856316121e-14	0.972691866920228	0.535728871453782
2.503702512562814	0.9028768447751181	1.1379786002407855e-13	0.9782017796782508	0.5998966987065337
2.60781783919598	0.9192562125685536	1.6120438317557273e-13	0.9826029492743065	0.6584754565929818
2.7119331658291457	0.932909262222593	2.3037127760972e-13	0.9861171720332007	0.7106495097829861
2.8160484924623117	0.9442747726043269	3.277378368693462e-13	0.988922454314187	0.7562427107206315
2.9201638190954773	0.9537272220665624	4.667377595524158e-13	0.9911614017211473	0.7955181673491605
3.0242791457286433	0.9615834783942822	6.660227924726314e-13	0.9929481159616314	0.8289951992182298
3.128394472361809	0.9681100813422426	9.486855745421963e-13	0.9943738119510752	0.8573109645595689
3.232509798994975	0.9735303202660404	1.3529177778082158e-12	0.9955113636110732	0.8811287467498397
3.3366251256281405	0.9780307205800488	1.928013304564047e-12	0.9964189666594089	0.9010838135002115
3.4407404522613065	0.9817667879934929	2.74813505285465e-12	0.9971430810279933	0.9177555834367503
3.5448557788944726	0.9848679876469401	3.91808807620464e-12	0.9977207896453191	0.9316565209737214
3.648971105527638	0.9874420003924785	5.5855320368891626e-12	0.998181686595906	0.9432308260679241
3.753086432160804	0.989578327566956	7.963185666426398e-12	0.9985493870193237	0.9528583544826875
3.8572017587939698	0.9913513248628207	1.1352141449094688e-11	0.9988427336691585	0.960860960261759
3.961317085427136	0.9928227447507124	1.6184387163775682e-11	0.9990767605940022	0.9675096310310836
4.065432412060302	0.994043860747803	2.3072321830852616e-11	0.9992634625634492	0.9730315297897828
4.169547738693467	0.9950572386570945	3.289257755056951e-11	0.9994124092464578	0.9776165036442598
4.273663065326633	0.9958982113337014	4.689360011411736e-11	0.9995312353827224	0.9814228775396838
4.377778391959799	0.996596105376424	6.685307862852596e-11	0.9996260319380886	0.9845824928224033
4.481893718592965	0.9971752607621709	9.530887190578596e-11	0.9997016582192844	0.9872050236416204
4.586009045226131	0.9976558779594381	1.358775314486138e-10	0.9997619909050319	0.9893816379561077
4.690124371859296	0.9980547214707074	1.9371249049271455e-10	0.9998101227355907	0.9911880817827731
4.794239698492462	0.9983857039967163	2.761679773755077e-10	0.9998485210326705	0.9926872655947402
4.898355025125628	0.9986603713974983	3.9371850224512173e-10	0.9998791541683567	0.9939314263491499
5.002470351758794	0.9988883052496177	5.613048914554497e-10	0.9999035924619647	0.9949639307997641
5.10658567839196	0.9990774569739769	8.002247753324809e-10	0.9999230886747049	0.9958207773098339
5.2107010050251255	0.9992344251502634	1.140842642577411e-09	0.9999386422272007	0.9965318452391588
5.3148163316582915	0.999364685668954	1.626440870872159e-09	0.9999510504310739	0.9971219335585086
5.4189316582914575	0.9994727827362916	2.318739533713199e-09	0.9999609493604462	0.9976116237987785
5.5230469849246235	0.9995624873876703	3.3057132586833404e-09	0.9999688464582993	0.9980179967842033
5.627162311557789	0.9996369290346891	4.712795709238549e-09	0.9999751465490482	0.9983552277719013
5.731277638190955	0.9996987046323218	6.7187999608364635e-09	0.9999801725907249	0.9986350805375643
5.835392964824121	0.9997499692730311	9.578667081733272e-09	0.9999841822305408	0.9988673175145826
5.939508291457287	0.9997925113673759	1.3655837682868821e-08	0.9999873810124819	0.9990600402193917
6.043623618090453	0.9998278150333229	1.946846139855296e-08	0.9999899329139822	0.9992199717952621
6.147738944723618	0.9998571118704628	2.7755235665338773e-08	0.9999919687518002	0.9993526915058148
6.251854271356784	0.9998814239251425	3.956928673609639e-08	0.9999935928880028	0.9994628293439344
6.35596959798995	0.9999015993452853	5.6412000404293394e-08	0.9999948885798193	0.9995542275365427
6.460084924623116	0.999918341968691	8.042383525808106e-08	0.9999959222476108	0.9996300745744453
6.564200251256281	0.9999322358769939	1.1465633442675482e-07	0.9999967468797407	0.9996930164400738
6.668315577889447	0.9999437657718454	1.634599353650401e-07	0.9999974047488887	0.9997452489117001
6.772430904522613	0.9999533338841535	2.330368337188915e-07	0.9999979295790523	0.99978859416325
6.876546231155779	0.999961274006262	3.3222920559072833e-07	0.9999983482743225	0.9998245643313897
6.980661557788945	0.999967863136595	4.736428820262262e-07	0.9999986822980532	0.9998544142671476
7.08477688442211	0.9999733311429965	6.752493656447811e-07	0.999998948773126	0.9998791853121634
7.188892211055276	0.9999778687818777	9.626696961806402e-07	0.9999991613597118	0.9998997416266243
7.2930075376884425	0.9999816343529283	1.3724304351869776e-06	0.999999330955524	0.9999168003361577
7.3971228643216085	0.999984759221545	1.9566054977326885e-06	0.9999994662544631	0.9999309565493402
7.501238190954774	0.9999873524016335	2.7894336904754624e-06	0.9999995741922871	0.9999427041185628
7.60535351758794	0.9999895043586581	3.976752759538016e-06	0.9999996603021557	0.9999524528684993
7.709468844221106	0.9999912901656122	5.669448596590243e-06	0.9999997289982732	0.9999605428932007
7.813584170854272	0.9999927721220085	8.082628143668558e-06	0.9999997838021726	0.9999672564205789
7.917699497487438	0.9999940019272545	1.1522951355980027e-05	0.9999998275232371	0.9999728276581822
8.021814824120604	0.9999950224842337	1.6427593042656063e-05	0.9999998624027165	0.9999774509637366
8.125930150753769	0.9999958693960118	2.341978088493679e-05	0.9999998902286192	0.9999812876254919
8.230045477386934	0.9999965722078827	3.3387956901886895e-05	0.9999999124273697	0.9999844714889089
8.334160804020101	0.999997155438083	4.7598600956488823e-05	0.9999999301369308	0.999987113625981
8.438276130653266	0.9999976394331328	6.785701023348523e-05	0.9999999442651382	0.9999893062100818
8.542391457286433	0.9999980410776432	9.673637773421895e-05	0.9999999555362389	0.9999911257315173
8.646506783919598	0.9999983743833512	0.00013790409989988817	0.9999999645280174	0.999992635665961
8.750622110552763	0.999998650977932	0.00019658641199704618	0.9999999717014143	0.99999388868886
8.85473743718593	0.999998880510641	0.0002802296477107946	0.9999999774241559	0.9999949285130668
8.958852763819095	0.9999990709889375	0.0003994406332876732	0.9999999819896039	0.9999957914138025
9.062968090452262	0.9999992290578312	0.0005693226308012278	0.9999999856317945	0.99999650749415
9.167083417085427	0.9999993602317007	0.0008113703347161216	0.9999999885374353	0.999997101735229
9.271198743718593	0.9999994690866664	0.0011561520445674267	0.9999999908554768	0.9999975948676842
9.37531407035176	0.9999995594202337	0.001647094202132604	0.9999999927047474	0.9999980040948935
9.479429396984925	0.9999996343837718	0.002345797477112055	0.9999999941800454	0.9999983436931232
9.583544723618092	0.9999996965924527	0.003339455947971026	0.999999995356998	0.9999986255095691
9.687660050251257	0.9999997482164832	0.004751114151952285	0.9999999962959389	0.999998859375656
9.791775376884422	0.9999997910568148	0.006753652214971373	0.9999999970450005	0.9999990534500169
9.895890703517589	0.9999998266079718	0.009588463582912432	0.9999999976425816	0.9999992145031139
10.000006030150754	0.9999998561101889	0.013589623361899728	0.9999999981193155	0.9999993481534318
10.10412135678392	0.9999998805926781	0.019213626714381093	0.9999999984996409	0.9999994590634845
10.208236683417086	0.9999999009095333	0.027072964138791344	0.9999999988030542	0.999999551102471
10.312352010050251	0.9999999177695268	0.03796808793481221	0.9999999990451092	0.9999996274812556
10.416467336683418	0.9999999317608348	0.05290584062192649	0.9999999992382139	0.9999996908643822
10.520582663316583	0.999999943371557	0.07308305396662362	0.9999999993922678	0.9999997434630294
10.624697989949748	0.999999953006744	0.09980442042606019	0.9999999995151677	0.9999997871121492
10.728813316582915	0.9999999610025282	0.13430219562282752	0.999999999613214	0.9999998233344811
10.83292864321608	0.9999999676378499	0.177446614011755	0.9999999996914326	0.9999998533936745
10.937043969849247	0.9999999731441883	0.2293925229539745	0.9999999997538332	0.9999998783383717
