[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]	[Not merged]
conc_series: 0.0 X	conc_series: 0.0 Y	conc_series: 0.625 X	conc_series: 0.625 Y	conc_series: 1.25 X	conc_series: 1.25 Y	conc_series: 2.5 X	conc_series: 2.5 Y	conc_series: 5.0 X	conc_series: 5.0 Y	conc_series: 10.0 X	conc_series: 10.0 Y
0.0	0.009985785358919695	0.0	0.03250570275486929	0.21722222222222223	0.011767068273092351	0.3825	0.0024540240080420895	0.3825	-0.001977376486667235	0.3825	0.0020150321397626294
0.004722222222222222	0.007142857142857151	0.004722222222222222	-0.000833479557817151	0.22194444444444444	0.008554216867469861	0.38722222222222225	-0.0022766246821595546	0.38722222222222225	0.01779638838000525	0.38722222222222225	0.013299212122433353
0.009444444444444445	-0.011336176261549388	0.009444444444444445	0.0167134585014915	0.22666666666666666	-0.005903614457831344	0.39194444444444443	8.869966294126738e-05	0.39194444444444443	-0.003140539125883264	0.39194444444444443	-0.006045096419287888
0.014166666666666666	0.004299928926794607	0.014166666666666666	0.007939989471837175	0.2313888888888889	-0.0010843373493976086	0.39666666666666667	0.0012713618354916784	0.39666666666666667	-0.003140539125883264	0.39666666666666667	0.002821044995667681
0.01888888888888889	0.005721393034825879	0.01888888888888889	0.011449377083698906	0.2361111111111111	-0.009116465863453833	0.4013888888888889	0.0024540240080420895	0.4013888888888889	0.0026752740701968787	0.4013888888888889	0.0076571221310979916
0.02361111111111111	0.004299928926794607	0.02361111111111111	-0.0043428671696788814	0.24083333333333334	0.005341365461847371	0.4061111111111111	-0.010555259890012433	0.4061111111111111	-0.008956352321963406	0.4061111111111111	-0.005239083563382836
0.028333333333333332	0.009985785358919695	0.028333333333333332	0.013204070889629771	0.24555555555555555	-0.017148594377510058	0.41083333333333333	0.004819348353142912	0.41083333333333333	-0.00663002704353135	0.41083333333333333	0.009269147842908094
0.03305555555555555	0.009985785358919695	0.03305555555555555	0.013204070889629771	0.25027777777777777	0.011767068273092351	0.41555555555555557	-0.0034592868547099658	0.41555555555555557	-0.004303701765099292	0.41555555555555557	0.00040300642795252587
0.03777777777777778	0.004299928926794607	0.03777777777777778	-0.000833479557817151	0.255	-0.010722891566265078	0.42027777777777775	0.015463307906096612	0.42027777777777775	0.006164761987844964	0.42027777777777775	0.0012090192838575776
0.0425	-0.005650319829424299	0.0425	0.00618529566590631	0.25972222222222224	0.0005220883534136363	0.425	-0.00818993554491161	0.425	0.005001599348628935	0.425	0.002821044995667681
0.04722222222222222	0.0014570007107320621	0.04722222222222222	0.004430601859975444	0.2644444444444444	-0.0026907630522088537	0.4297222222222222	-0.0046419490272603765	0.4297222222222222	-0.003140539125883264	0.4297222222222222	-0.006045096419287888
0.051944444444444446	0.0014570007107320621	0.051944444444444446	0.004430601859975444	0.26916666666666667	-0.0026907630522088537	0.43444444444444447	-0.007007273372361199	0.43444444444444447	0.00034894879176482175	0.43444444444444447	0.00040300642795252587
0.056666666666666664	0.0028784648187633343	0.056666666666666664	-0.013116336199333207	0.2738888888888889	-0.0026907630522088537	0.43916666666666665	-0.0010939625096091437	0.43916666666666665	-0.001977376486667235	0.43916666666666665	0.003627057851572733
0.06138888888888889	-0.007071783937455571	0.06138888888888889	-0.007852254781540611	0.2786111111111111	0.010160642570281106	0.4438888888888889	0.0012713618354916784	0.4438888888888889	0.00034894879176482175	0.4438888888888889	-0.0020150321397626294
0.0661111111111111	0.0028784648187633343	0.0661111111111111	0.007939989471837175	0.2833333333333333	-0.018755020080321302	0.4486111111111111	-0.0046419490272603765	0.4486111111111111	0.00034894879176482175	0.4486111111111111	0.002821044995667681
0.07083333333333333	0.0028784648187633343	0.07083333333333333	0.007939989471837175	0.28805555555555556	-0.0026907630522088537	0.4533333333333333	-0.00937259771746202	0.4533333333333333	-0.003140539125883264	0.4533333333333333	0.00685110927519294
0.07555555555555556	-0.008493248045486844	0.07555555555555556	-0.023644499034918397	0.2927777777777778	0.003734939759036126	0.45805555555555555	0.009549997043344556	0.45805555555555555	-0.00663002704353135	0.45805555555555555	0.003627057851572733
0.08027777777777778	-0.008493248045486844	0.08027777777777778	0.007939989471837175	0.2975	0.0005220883534136363	0.4627777777777778	0.004819348353142912	0.4627777777777778	0.014306900462357164	0.4627777777777778	-0.0076571221310979916
0.085	-0.009914712153518116	0.085	0.0009212142481137142	0.3022222222222222	0.003734939759036126	0.4675	-0.005824611199810788	0.4675	-0.010119514961179434	0.4675	0.006045096419287888
0.08972222222222222	-0.004228855721393027	0.08972222222222222	-0.013116336199333207	0.30694444444444446	0.010160642570281106	0.4722222222222222	0.0036366861805925007	0.4722222222222222	-0.00663002704353135	0.4722222222222222	0.0012090192838575776
0.09444444444444444	-0.021286425017768295	0.09444444444444444	0.007939989471837175	0.31166666666666665	0.0005220883534136363	0.47694444444444445	8.869966294126738e-05	0.47694444444444445	0.005001599348628935	0.47694444444444445	-0.004433070707477785
0.09916666666666667	-0.005650319829424299	0.09916666666666667	-0.007852254781540611	0.3163888888888889	0.0005220883534136363	0.4816666666666667	0.0060020105256933225	0.4816666666666667	-0.003140539125883264	0.4816666666666667	-0.0012090192838575776
0.10388888888888889	-0.0028073916133617544	0.10388888888888889	-0.006097560975609747	0.3211111111111111	-0.0010843373493976086	0.48638888888888887	0.004819348353142912	0.48638888888888887	-0.003140539125883264	0.48638888888888887	0.003627057851572733
