X	200-6.4	200-5	200-4	200-3.2	200-2.5	200-2	200-1.6	200-1.25	200-1
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.04859698492462312	0.002821970586737277	0.001704598255051648	0.0010859724775048596	0.0006934242787476341	0.0004227095977900053	0.00027038967734605013	0.00017300374682993613	0.00010557855442250297	6.75664034514023e-05
0.09719396984924623	0.011958512222464801	0.007006482741922948	0.004403675115307482	0.0027926464160188402	0.001696110337393475	0.0010831975776082192	0.0006925160061763691	0.0004224454017567325	0.00027030312410958324
0.14579095477386936	0.02953606966567901	0.016483799348833816	0.010134407642801047	0.006354760229311918	0.0038360367426123476	0.0024433405384599594	0.0015600392838051036	0.0009509939085085017	0.000608322642125736
0.19438793969849247	0.0594529727151224	0.03114404670751114	0.018586547137848908	0.01147571076015863	0.006868939209174418	0.004359013765859787	0.0027780758884144996	0.0016918790640428893	0.0010818122549797193
0.24298492462311558	0.10776077610651558	0.0524800021295283	0.0302038336278303	0.018291364376689434	0.01083196347712434	0.0068416904915507	0.004350125019525475	0.0026460165396176016	0.0016910338224822574
0.2915819095477387	0.1826787176034943	0.08252121481903885	0.0455745847048904	0.026978765491900147	0.01577304173482852	0.009906119355177823	0.006280678468088663	0.0038145813535129802	0.002436323408102181
0.3401788944723618	0.29316214873208457	0.12383686841723407	0.06543866910917517	0.037757301639296914	0.021750973953034602	0.01357031731730518	0.008575214705173084	0.005199006124698591	0.00331809081494161
0.38877587939698494	0.4440422097882146	0.1794066147744352	0.09068698848765044	0.05088936571349534	0.028835470163416033	0.017855555204778994	0.011240191066831051	0.006800978892396392	0.0043368190142037966
0.43737286432160805	0.6261118113790927	0.25222057845263857	0.12234523290170296	0.06667993079011636	0.03710711521028165	0.022786332228455386	0.01428303367374395	0.008622440473782134	0.005493063463520964
0.48596984924623116	0.8058625906334195	0.3444184181079978	0.16152975293367822	0.08547423204401372	0.046657206778608296	0.028390334985221588	0.017712124652168093	0.010665581326896545	0.0067874513120310676
0.5345668341708543	0.9342424784142414	0.455802921865592	0.2093589521295981	0.1076524800079004	0.05758740506404181	0.03469837555350108	0.021536786147706377	0.012932837880612946	0.00822068048861524
0.5831638190954774	0.9890013718547013	0.5818300170627	0.26680008132512234	0.13362021868160956	0.07000911824294054	0.04174430230900217	0.025767260545329185	0.015426888288232687	0.009793518669234613
0.6317608040201005	0.9994264533185384	0.7119019272771491	0.3344320086998227	0.1637926196530174	0.08404253204992473	0.049564876024424054	0.030414686227773657	0.018150647555945643	0.011506802118827819
0.6803577889447237	0.9999956373860776	0.8299048398481339	0.4121155624793952	0.19857073167335704	0.09981517468915135	0.05819960267791613	0.035491068120027336	0.02110726199200974	0.01336143440276183
0.7289547738693467	0.9999999986196924	0.9192672158419702	0.49859349020030463	0.23830759776563548	0.11745989082721742	0.06769051319264707	0.04100924218031965	0.024300102917083843	0.015358384962358418
0.7775517587939699	0.9999999999999977	0.9718577561034911	0.591101104061074	0.28326239473760473	0.1371120819714411	0.0780818790862503	0.046982832908382455	0.027732759570691656	0.017498687548555436
0.826148743718593	1.0	0.9936597914884067	0.6851555816197288	0.333541617162616	0.15890605737449093	0.08941985175953437	0.05342620285047073	0.031409031143334154	0.019783438507299467
0.8747457286432161	1.0	0.9992294926508615	0.7747760255434986	0.3890281788361327	0.18297033304120314	0.10175201195055761	0.06035439298885892	0.035332917858318935	0.022213794909814677
0.9233427135678393	1.0	0.9999608838935048	0.8533841075713329	0.449302532184394	0.20942172109757617	0.11512681479544962	0.06778305281274832	0.039508611021968565	0.024790972520444488
0.9719396984924623	1.0	0.9999994221226605	0.9154188286656605	0.5135647921239052	0.23835807393584918	0.12959291506890702	0.07572835877968953	0.043940481955548005	0.027516243594325696
1.0205366834170855	1.0	0.999999998509996	0.9582046384909751	0.5805732783964025	0.2698495950811466	0.14519835665297154	0.08420691979427475	0.048633069717058275	0.03039093449672503
1.0691336683417085	1.0	0.9999999999996746	0.9830634704779309	0.6486218837423154	0.3039287110994435	0.16198961026556002	0.09323566825710383	0.05359106751603104	0.03341642313545723
1.1177306532663316	1.0	1.0	0.994677467238005	0.7155838423562266	0.34057862652796	0.1800104441731616	0.1028317351757565	0.05881930771970523	0.03659413619740104
1.1663276381909549	1.0	1.0	0.9987923457543606	0.7790486475777794	0.379720866884542	0.19930061426132473	0.11301230778537152	0.06432274534453286	0.03992554617974764
1.214924623115578	1.0	1.0	0.9998194958571128	0.8365665967507355	0.421202360765646	0.21989436273290763	0.1237944681050328	0.07010643992295129	0.043412168206257595
1.263521608040201	1.0	1.0	0.9999841970237798	0.885987246827923	0.46478292193877924	0.24181871918071352	0.13519501086406704	0.0761755356318724	0.04705555661846117
1.3121185929648242	1.0	1.0	0.9999993028456988	0.9258350870403438	0.5101243554930042	0.26509160420576094	0.14723023927721823	0.0825352395664869	0.050857301331428295
1.3607155778894473	1.0	1.0	0.9999999872211163	0.955620590455417	0.556782799242163	0.28971974451129845	0.15991573723827823	0.08919079804091246	0.05481902394345639
1.4093125628140704	1.0	1.0	0.9999999999239858	0.9759639270447523	0.6042062671982217	0.3156964198738177	0.17326611664806402	0.09614747079606822	0.05894237358877907
1.4579095477386934	1.0	1.0	0.9999999999998931	0.9884431687241729	0.6517395979736434	0.3429990769044441	0.18729473880575476	0.10341050299510501	0.0632290225221982
1.5065065326633167	1.0	1.0	1.0	0.9951797496291152	0.6986390050770463	0.3715868622876799	0.20201340908472143	0.11098509488795794	0.06768066142438389
