"time [h]"	"Agitated rep 1"	"Agitated rep 2"	"Agitated rep 3"	"Idle rep 1"	"Idle rep 2"	"Idle rep 3"
199.8	0.00727812638467081	0.0096517924641556	0.00616728464972658			
206.4	0.00723721275048862	0.00875953498784909	0.00699607767995738			
213	0.00614072735440577	0.00832151768129862	0.00479863560897848			
219.6	0.00482330833373907	0.00832151768129862	0.00485186084945202			
226.2	0.00366136112296471	0.00661000561311068	0.00298137382709627			
232.8	0.00267125117575557	0.00565285668398188	0.00335395051041104			
239.4	0.00185297849211165	0.00417657613227475	0.00216018440264741			
246	0.00218847029240566	0.00227850113722272	0.00218299521999321			
252.6	0.00111653307683213	0.00164580947220538	0.00133139137241662			
259.2	0.000691031281337293	-1.70340063658397E-05	-0.000364212716954645			
265.8	0.000167336763805187	-0.00262891498246307	-0.000501077621029456			
272.4	-0.00180470040377665	-0.00126619447319495	-0.00171005094035695			
279.6	-0.0036130830346297	-0.00220712053911818	-0.00185451945021369			
286.2	-0.00353125576626531	-0.00505423303169622	-0.00280497017295543			
292.8	-0.00414496027899825	-0.0047054414727764	-0.00357293435693075			
299.4	-0.00367854484932122	-0.00648995642538942	-0.00326118651987146			
306	-0.00460319298183884	-0.00719565097483184	-0.00404435791541066			
312.6	-0.00496323296264216	-0.00762555684977952	-0.0045690067143641			
319.2	-0.00506142568467943	-0.00862326293692225	-0.00584641248572899			
325.8	-0.00642794106636477	-0.00960474616085941	-0.00629502522686309			
332.4	-0.00653431651523848	-0.00929651175995353	-0.00578558363947352			
339	-0.00742623374041035	-0.0125654186958765	-0.00637866489046437			
345.6	-0.00837543005343729	-0.0110161352597443	-0.00633304325577276			
352.2	-0.00963556998624892	-0.0128412073703712	-0.00760284542135573			
359.4	-0.0098401381571599	-0.0131981103608938	-0.00934407114541859			
366	-0.00973376270828619	-0.0145689423017647	-0.00839362042267685			
372.6	-0.00938190545431931	-0.0142688193324616	-0.00869016104817227			
379.2	-0.0102983708600005	-0.0156234284101269	-0.00918439542399798			
385.8	-0.0100528890549073	-0.0155260912308935	-0.010446593983799			
392.4	-0.0120494744029985	-0.0167103602449003	-0.0102336930219049			
399	-0.0114685007976113	-0.0181541950701963	-0.0104237831664532			
405.6	-0.0120985707640171	-0.0184624294711022	-0.010788756243986			
412.2	-0.0138987706680337	-0.0199062642963982	-0.0103705579259797			
418.8	-0.0131541425259178	-0.0190870097045168	-0.0116327564857807			
425.4	-0.0133177970626465	-0.0211229790368162	-0.0120661620153509			
432	-0.0139151361217066	-0.0234428484752131	-0.0120129367748774			
439.2	-0.0145206579076031	-0.0236861914232967	-0.0116327564857807			
445.8	-0.0138824052143608	-0.0234752942016242	-0.0131610812479494			
452.4	-0.014463378819748	-0.0242539916354917	-0.0118456574476748			
459	-0.0137351161313049	-0.0272552213285227	-0.0131838920652952			
465.6	-0.0148561497078971	-0.0258276093664323	-0.0125679999969586			
472.2	-0.0152980169570648	-0.0273444470761534	-0.0129405766802733			
478.8	-0.0155516814889944	-0.0298589908730172	-0.0128493334108901			
485.4	-0.0161817514554002	-0.0321220802901946	-0.0122942701888089			
492	-0.015412575132775	-0.0322599746274419	-0.0137541624989403			
498.6	-0.0141115215657811	-0.0327223262288008	-0.014134342788037			
505.2	-0.0137514815849778	-0.0347177384030862	-0.0135108471139184			
511.8	-0.0147334088053505	-0.0365346990821104	-0.0129253694687095			
518.4	-0.0151098142398267	-0.0382705454451067	-0.0146818024043362			
525.6	-0.0139069533948702	-0.0406471949047231	-0.0147350276448097			
532.2	-0.0155925951231766	-0.0404119633882423	-0.0144384870193143			
538.8	-0.0146352160833132	-0.0434943073973012	-0.0155790278866044			
545.4	-0.0148316015273878	-0.0455708338876145	-0.0148490817315387			
552	-0.0148070533468785	-0.0478744804628058	-0.0165066677920003			
558.6	-0.0141851661073091	-0.0499023383635024	-0.0160580550508662			
565.2	-0.0139560497558888	-0.0534064768159062	-0.0172822355817576			
571.8	-0.0144142824587294	-0.056261700740087	-0.0174038932742685			
578.4	-0.0154944024011394	-0.0617774742299818	-0.0180654069772968			
585	-0.0162308478164189	-0.0695401142738484	-0.0183315331796645			
591.6	-0.0153880269522656	-0.0726630154409212	-0.0231522192454106			
598.2	-0.0155107678548122	-0.074342081782698	-0.0321472848854384			
605.4	-0.014537023361276	-0.0766700626526977	-0.0309763295950206			
612	-0.0174746222955576	-0.079695626640537	-0.0298357887277305			
618.6	-0.0320316933375829	-0.0824372905222789	-0.0325426723860989			
625.2	-0.0287340544224979	-0.0819911617841256	-0.0282390315135243			
631.8	-0.0300269252626553	-0.0850491714983761	-0.0310827800759676			
638.4	-0.02817762899762	-0.0843921455385504	-0.0312804738262979			
645	-0.0224088065779304	-0.0815044758879584	-0.031386924307245			
651.6	-0.0184647322427668	-0.0809285642441606	-0.0311284017106592			
658.2	-0.0188165894967337	-0.080531104095624	-0.0296533021889641			
664.8	-0.0188247722235701	-0.0785681376477497	-0.0256918235765765			
671.4	-0.0198148821707792	-0.0748044333840568	-0.0235932283807627			
678	-0.0168772832364976	-0.0697996800851376	-0.0218900206856095			
685.2	-0.0150852660593174	-0.0638053321306784	-0.0184151728432657			
691.8	-0.0141442524731269	-0.0578677641974387	-0.0142940185094576			
698.4	-0.0118612716857604	-0.0558155720019338	-0.0110548824463537			
705	-0.0036539966688119	-0.0494724324885548	-0.00328399733721727			
711.6	0.00175478577007438	-0.0392520286690438	0.00403067142500315			
718.2	0.0058134182809482	-0.0274823414134007	0.0105393579743386			
724.8	0.0121877624865343	-0.0181623065017991	0.0195952524606219			
