Time (min)	D01	D02	D03	D04
0.0	326.0	318.0	324.0	351.0
0.5	308.0	321.0	328.0	348.0
1.0	307.0	317.0	316.0	344.0
1.5	301.0	301.0	317.0	342.0
2.0	309.0	318.0	310.0	332.0
2.5	307.0	312.0	312.0	332.0
3.0	310.0	317.0	307.0	331.0
3.5	311.0	305.0	305.0	327.0
4.0	311.0	301.0	306.0	318.0
4.5	309.0	301.0	312.0	321.0
5.0	300.0	300.0	311.0	332.0
5.5	300.0	303.0	306.0	321.0
6.0	307.0	292.0	309.0	327.0
6.5	303.0	310.0	301.0	326.0
7.0	307.0	300.0	305.0	318.0
7.5	304.0	292.0	304.0	323.0
8.0	298.0	309.0	307.0	322.0
8.5	306.0	300.0	300.0	325.0
9.0	302.0	306.0	291.0	326.0
9.5	302.0	300.0	309.0	329.0
10.0	293.0	312.0	293.0	318.0
10.5	298.0	302.0	305.0	319.0
11.0	300.0	299.0	297.0	325.0
11.5	309.0	299.0	292.0	321.0
12.0	295.0	300.0	297.0	322.0
12.5	303.0	298.0	312.0	323.0
13.0	309.0	299.0	306.0	323.0
13.5	287.0	301.0	314.0	306.0
14.0	301.0	311.0	303.0	321.0
14.5	305.0	297.0	299.0	327.0
15.0	303.0	302.0	300.0	320.0
15.5	304.0	304.0	299.0	331.0
16.0	300.0	301.0	297.0	331.0
16.5	298.0	297.0	306.0	316.0
17.0	308.0	293.0	304.0	324.0
17.5	293.0	307.0	303.0	322.0
18.0	298.0	301.0	299.0	328.0
18.5	307.0	299.0	303.0	323.0
19.0	307.0	294.0	305.0	322.0
19.5	303.0	295.0	304.0	327.0
20.0	302.0	305.0	296.0	328.0
20.5	299.0	293.0	301.0	326.0
21.0	309.0	299.0	300.0	323.0
21.5	302.0	301.0	301.0	322.0
22.0	306.0	296.0	303.0	325.0
22.5	296.0	318.0	296.0	329.0
23.0	319.0	311.0	314.0	332.0
23.5	318.0	303.0	306.0	311.0
24.0	316.0	296.0	300.0	325.0
24.5	312.0	306.0	299.0	322.0
25.0	314.0	302.0	297.0	320.0
25.5	312.0	302.0	300.0	338.0
26.0	308.0	299.0	295.0	323.0
26.5	317.0	309.0	305.0	322.0
27.0	322.0	299.0	300.0	327.0
27.5	318.0	303.0	303.0	321.0
28.0	313.0	304.0	302.0	326.0
28.5	317.0	308.0	307.0	330.0
29.0	335.0	300.0	317.0	327.0
29.5	338.0	300.0	296.0	332.0
30.0	322.0	301.0	306.0	328.0
30.5	335.0	299.0	311.0	324.0
31.0	326.0	312.0	301.0	327.0
31.5	324.0	311.0	303.0	333.0
32.0	328.0	305.0	302.0	334.0
32.5	334.0	317.0	306.0	332.0
33.0	325.0	315.0	309.0	339.0
33.5	328.0	315.0	310.0	335.0
34.0	327.0	317.0	310.0	330.0
34.5	329.0	309.0	315.0	338.0
35.0	321.0	313.0	296.0	331.0
35.5	335.0	315.0	312.0	327.0
36.0	335.0	322.0	315.0	331.0
36.5	327.0	325.0	315.0	339.0
37.0	331.0	316.0	305.0	347.0
37.5	331.0	330.0	318.0	342.0
38.0	341.0	321.0	318.0	347.0
38.5	328.0	323.0	316.0	331.0
39.0	339.0	324.0	307.0	347.0
39.5	339.0	320.0	310.0	347.0
40.0	338.0	324.0	327.0	339.0
40.5	338.0	315.0	321.0	349.0
41.0	345.0	326.0	323.0	337.0
41.5	348.0	332.0	318.0	354.0
42.0	340.0	331.0	324.0	347.0
42.5	335.0	330.0	321.0	357.0
43.0	344.0	337.0	324.0	367.0
43.5	343.0	336.0	333.0	348.0
44.0	338.0	331.0	326.0	358.0
44.5	351.0	340.0	331.0	353.0
45.0	353.0	346.0	349.0	361.0
45.5	357.0	351.0	343.0	356.0
46.0	346.0	337.0	338.0	366.0
46.5	360.0	360.0	330.0	371.0
47.0	350.0	349.0	347.0	363.0
47.5	346.0	352.0	362.0	364.0
48.0	356.0	352.0	333.0	368.0
48.5	363.0	356.0	344.0	374.0
49.0	365.0	354.0	352.0	378.0
49.5	363.0	358.0	348.0	374.0
50.0	362.0	353.0	353.0	384.0
50.5	371.0	373.0	368.0	389.0
51.0	366.0	369.0	369.0	374.0
51.5	371.0	372.0	364.0	392.0
52.0	392.0	373.0	374.0	398.0
52.5	378.0	369.0	372.0	394.0
53.0	368.0	378.0	375.0	413.0
53.5	392.0	397.0	376.0	391.0
54.0	386.0	377.0	389.0	412.0
54.5	399.0	391.0	383.0	419.0
55.0	405.0	408.0	376.0	408.0
55.5	391.0	407.0	393.0	419.0
56.0	384.0	400.0	387.0	423.0
56.5	411.0	414.0	395.0	434.0
57.0	404.0	396.0	386.0	440.0
57.5	420.0	408.0	404.0	415.0
58.0	421.0	417.0	415.0	422.0
58.5	422.0	408.0	423.0	424.0
59.0	427.0	421.0	408.0	450.0
59.5	419.0	409.0	426.0	430.0
60.0	441.0	421.0	440.0	447.0
60.5	439.0	427.0	433.0	450.0
61.0	443.0	444.0	446.0	446.0
61.5	434.0	444.0	426.0	459.0
62.0	452.0	451.0	440.0	467.0
62.5	459.0	451.0	456.0	471.0
63.0	456.0	445.0	459.0	472.0
63.5	471.0	453.0	456.0	481.0
64.0	468.0	446.0	460.0	484.0
64.5	480.0	466.0	463.0	477.0
65.0	487.0	461.0	462.0	483.0
65.5	482.0	464.0	466.0	503.0
66.0	485.0	464.0	480.0	497.0
66.5	480.0	476.0	486.0	497.0
67.0	496.0	487.0	487.0	508.0
67.5	487.0	483.0	491.0	514.0
68.0	499.0	483.0	488.0	521.0
68.5	506.0	504.0	501.0	510.0
69.0	502.0	509.0	497.0	534.0
69.5	505.0	483.0	516.0	522.0
70.0	525.0	508.0	516.0	530.0
70.5	508.0	516.0	504.0	532.0
71.0	525.0	515.0	521.0	536.0
71.5	528.0	510.0	537.0	540.0
72.0	526.0	521.0	530.0	552.0
72.5	522.0	528.0	529.0	553.0
73.0	538.0	534.0	545.0	568.0
73.5	543.0	530.0	538.0	560.0
74.0	560.0	534.0	536.0	578.0
74.5	555.0	552.0	537.0	559.0
75.0	553.0	552.0	549.0	569.0
75.5	546.0	555.0	555.0	586.0
76.0	562.0	545.0	556.0	570.0
76.5	572.0	542.0	565.0	583.0
77.0	572.0	564.0	574.0	603.0
77.5	584.0	567.0	577.0	594.0
78.0	565.0	569.0	568.0	599.0
78.5	582.0	577.0	576.0	598.0
79.0	587.0	572.0	587.0	606.0
79.5	583.0	569.0	579.0	605.0
80.0	601.0	579.0	581.0	606.0
80.5	599.0	570.0	589.0	628.0
81.0	604.0	599.0	579.0	624.0
81.5	598.0	583.0	598.0	615.0
82.0	618.0	605.0	611.0	612.0
82.5	606.0	608.0	608.0	620.0
83.0	604.0	602.0	617.0	652.0
83.5	614.0	604.0	616.0	644.0
84.0	617.0	609.0	617.0	644.0
84.5	649.0	603.0	620.0	638.0
85.0	619.0	609.0	625.0	642.0
85.5	621.0	626.0	640.0	648.0
86.0	646.0	624.0	628.0	655.0
86.5	639.0	630.0	639.0	664.0
87.0	659.0	622.0	643.0	654.0
87.5	650.0	631.0	657.0	669.0
88.0	649.0	640.0	641.0	681.0
88.5	669.0	636.0	655.0	693.0
89.0	645.0	641.0	658.0	676.0
89.5	647.0	654.0	647.0	686.0
90.0	657.0	657.0	651.0	666.0
90.5	676.0	660.0	673.0	701.0
91.0	678.0	685.0	659.0	686.0
91.5	665.0	643.0	675.0	687.0
92.0	675.0	642.0	675.0	701.0
92.5	693.0	664.0	677.0	696.0
93.0	679.0	671.0	683.0	697.0
93.5	683.0	675.0	689.0	701.0
94.0	687.0	668.0	693.0	710.0
94.5	704.0	668.0	693.0	709.0
95.0	717.0	692.0	688.0	722.0
95.5	713.0	697.0	696.0	737.0
96.0	678.0	694.0	695.0	722.0
96.5	707.0	695.0	696.0	711.0
97.0	705.0	680.0	687.0	720.0
97.5	693.0	693.0	710.0	720.0
98.0	712.0	708.0	707.0	717.0
98.5	702.0	706.0	707.0	723.0
99.0	711.0	697.0	703.0	733.0
99.5	719.0	696.0	719.0	735.0
100.0	704.0	716.0	718.0	734.0
100.5	737.0	718.0	720.0	743.0
101.0	711.0	703.0	728.0	742.0
101.5	724.0	725.0	717.0	739.0
102.0	703.0	717.0	734.0	738.0
102.5	718.0	719.0	737.0	741.0
103.0	715.0	715.0	714.0	754.0
103.5	738.0	723.0	751.0	740.0
104.0	740.0	715.0	729.0	767.0
104.5	743.0	731.0	745.0	758.0
105.0	742.0	723.0	735.0	764.0
105.5	732.0	725.0	737.0	773.0
106.0	745.0	725.0	735.0	766.0
106.5	764.0	740.0	755.0	766.0
107.0	756.0	730.0	740.0	761.0
107.5	751.0	724.0	733.0	770.0
108.0	760.0	738.0	738.0	774.0
108.5	748.0	737.0	740.0	768.0
109.0	745.0	729.0	740.0	779.0
109.5	751.0	745.0	768.0	795.0
110.0	762.0	758.0	749.0	763.0
110.5	761.0	742.0	760.0	771.0
111.0	754.0	737.0	751.0	786.0
111.5	761.0	760.0	759.0	775.0
112.0	767.0	753.0	759.0	775.0
112.5	787.0	758.0	750.0	793.0
113.0	766.0	763.0	773.0	773.0
113.5	795.0	765.0	770.0	790.0
114.0	763.0	760.0	761.0	779.0
114.5	764.0	774.0	787.0	795.0
115.0	758.0	756.0	783.0	790.0
115.5	777.0	765.0	771.0	792.0
116.0	783.0	769.0	778.0	791.0
116.5	783.0	776.0	785.0	789.0
117.0	758.0	766.0	766.0	824.0
117.5	768.0	786.0	774.0	803.0
118.0	769.0	756.0	758.0	801.0
118.5	781.0	776.0	775.0	798.0
119.0	789.0	781.0	775.0	786.0
119.5	775.0	788.0	790.0	793.0
120.0	788.0	802.0	791.0	801.0
120.5	781.0	794.0	796.0	813.0
121.0	804.0	784.0	795.0	809.0
121.5	801.0	804.0	799.0	818.0
122.0	790.0	790.0	795.0	794.0
122.5	795.0	802.0	794.0	799.0
123.0	791.0	797.0	798.0	812.0
123.5	807.0	794.0	799.0	816.0
124.0	787.0	788.0	788.0	809.0
124.5	793.0	792.0	803.0	817.0
125.0	799.0	781.0	797.0	800.0
125.5	813.0	812.0	781.0	801.0
126.0	806.0	796.0	797.0	836.0
126.5	791.0	795.0	782.0	806.0
127.0	813.0	790.0	795.0	822.0
127.5	803.0	805.0	806.0	802.0
128.0	798.0	804.0	801.0	786.0
128.5	798.0	806.0	787.0	827.0
129.0	787.0	798.0	799.0	829.0
129.5	818.0	805.0	822.0	816.0
130.0	794.0	804.0	798.0	816.0
130.5	817.0	812.0	807.0	833.0
131.0	794.0	810.0	784.0	835.0
131.5	810.0	811.0	803.0	820.0
132.0	803.0	820.0	812.0	831.0
132.5	822.0	812.0	804.0	838.0
133.0	830.0	800.0	803.0	827.0
133.5	812.0	834.0	801.0	823.0
134.0	802.0	817.0	814.0	829.0
134.5	808.0	824.0	813.0	826.0
135.0	808.0	817.0	812.0	829.0
135.5	817.0	805.0	813.0	853.0
