Time (min)	E05	E06	E07	E08
0.0	1164.0	1121.0	1105.0	1109.0
4.0	1120.0	1101.0	1086.0	1083.0
8.0	1105.0	1098.0	1074.0	1078.0
12.0	1107.0	1081.0	1057.0	1049.0
16.0	1086.0	1078.0	1045.0	1063.0
20.0	1103.0	1074.0	1054.0	1064.0
24.0	1103.0	1046.0	1071.0	1067.0
28.0	1091.0	1056.0	1049.0	1062.0
32.0	1099.0	1068.0	1063.0	1047.0
36.0	1109.0	1079.0	1072.0	1062.0
40.0	1136.0	1080.0	1088.0	1076.0
44.0	1151.0	1117.0	1122.0	1094.0
48.0	1178.0	1125.0	1128.0	1115.0
52.0	1213.0	1163.0	1203.0	1140.0
56.0	1257.0	1218.0	1235.0	1195.0
60.0	1312.0	1253.0	1291.0	1235.0
64.0	1359.0	1303.0	1344.0	1281.0
68.0	1418.0	1363.0	1413.0	1337.0
72.0	1490.0	1434.0	1450.0	1403.0
76.0	1538.0	1486.0	1569.0	1457.0
80.0	1597.0	1530.0	1594.0	1519.0
84.0	1625.0	1578.0	1657.0	1583.0
88.0	1680.0	1637.0	1710.0	1634.0
92.0	1714.0	1687.0	1758.0	1660.0
96.0	1758.0	1721.0	1810.0	1726.0
100.0	1824.0	1779.0	1858.0	1788.0
104.0	1838.0	1811.0	1884.0	1824.0
108.0	1889.0	1850.0	1930.0	1854.0
112.0	1909.0	1870.0	1945.0	1893.0
116.0	1936.0	1896.0	1982.0	1921.0
120.0	1972.0	1927.0	2017.0	1983.0
124.0	2001.0	1949.0	2059.0	1979.0
128.0	2014.0	1971.0	2106.0	2012.0
132.0	2034.0	1999.0	2097.0	2057.0
136.0	2085.0	2026.0	2129.0	2077.0
140.0	2096.0	2060.0	2162.0	2084.0
144.0	2094.0	2074.0	2193.0	2118.0
148.0	2127.0	2095.0	2205.0	2165.0
152.0	2119.0	2084.0	2226.0	2164.0
156.0	2154.0	2115.0	2225.0	2188.0
160.0	2165.0	2128.0	2256.0	2200.0
164.0	2176.0	2155.0	2270.0	2226.0
168.0	2209.0	2158.0	2262.0	2245.0
172.0	2193.0	2169.0	2306.0	2275.0
176.0	2205.0	2183.0	2340.0	2248.0
180.0	2224.0	2171.0	2301.0	2280.0
184.0	2254.0	2216.0	2338.0	2283.0
188.0	2258.0	2213.0	2339.0	2314.0
192.0	2266.0	2243.0	2360.0	2301.0
196.0	2254.0	2224.0	2360.0	2339.0
200.0	2282.0	2249.0	2390.0	2328.0
204.0	2284.0	2242.0	2396.0	2359.0
208.0	2315.0	2268.0	2393.0	2382.0
212.0	2314.0	2266.0	2401.0	2372.0
216.0	2345.0	2277.0	2422.0	2390.0
220.0	2317.0	2271.0	2423.0	2384.0
224.0	2340.0	2293.0	2425.0	2387.0
228.0	2344.0	2293.0	2445.0	2418.0
232.0	2346.0	2309.0	2447.0	2406.0
236.0	2338.0	2299.0	2461.0	2429.0
240.0	2362.0	2321.0	2468.0	2438.0
244.0	2358.0	2307.0	2469.0	2439.0
248.0	2354.0	2323.0	2492.0	2434.0
252.0	2374.0	2318.0	2489.0	2469.0
256.0	2366.0	2327.0	2498.0	2465.0
260.0	2403.0	2371.0	2545.0	2480.0
264.0	2412.0	2347.0	2508.0	2489.0
268.0	2404.0	2356.0	2539.0	2484.0
272.0	2390.0	2344.0	2553.0	2485.0
276.0	2422.0	2366.0	2563.0	2497.0
280.0	2394.0	2374.0	2542.0	2499.0
284.0	2434.0	2385.0	2560.0	2529.0
288.0	2457.0	2393.0	2549.0	2519.0
292.0	2450.0	2379.0	2552.0	2515.0
296.0	2451.0	2405.0	2568.0	2544.0
300.0	2455.0	2413.0	2590.0	2528.0
304.0	2459.0	2421.0	2584.0	2556.0
308.0	2478.0	2417.0	2617.0	2563.0
312.0	2466.0	2418.0	2611.0	2553.0
316.0	2470.0	2445.0	2617.0	2546.0
320.0	2504.0	2420.0	2630.0	2591.0
324.0	2476.0	2428.0	2617.0	2579.0
328.0	2501.0	2463.0	2640.0	2568.0
332.0	2500.0	2450.0	2630.0	2579.0
336.0	2520.0	2466.0	2650.0	2577.0
340.0	2495.0	2465.0	2648.0	2599.0
344.0	2525.0	2469.0	2665.0	2577.0
348.0	2526.0	2449.0	2667.0	2621.0
352.0	2518.0	2460.0	2665.0	2612.0
356.0	2527.0	2473.0	2665.0	2602.0
360.0	2543.0	2474.0	2697.0	2614.0
364.0	2522.0	2485.0	2696.0	2620.0
368.0	2543.0	2498.0	2685.0	2634.0
372.0	2558.0	2495.0	2701.0	2627.0
376.0	2556.0	2495.0	2720.0	2666.0
380.0	2555.0	2506.0	2714.0	2651.0
384.0	2571.0	2517.0	2722.0	2676.0
388.0	2535.0	2518.0	2706.0	2673.0
392.0	2558.0	2525.0	2719.0	2669.0
396.0	2551.0	2535.0	2729.0	2668.0
400.0	2574.0	2532.0	2719.0	2716.0
404.0	2581.0	2529.0	2766.0	2694.0
408.0	2600.0	2518.0	2746.0	2704.0
412.0	2588.0	2544.0	2747.0	2689.0
416.0	2596.0	2564.0	2761.0	2707.0
420.0	2613.0	2540.0	2771.0	2705.0
424.0	2609.0	2525.0	2767.0	2708.0
428.0	2594.0	2546.0	2788.0	2707.0
432.0	2632.0	2547.0	2778.0	2722.0
436.0	2617.0	2542.0	2782.0	2700.0
440.0	2600.0	2560.0	2786.0	2736.0
444.0	2641.0	2557.0	2828.0	2735.0
448.0	2631.0	2572.0	2798.0	2757.0
452.0	2626.0	2542.0	2778.0	2722.0
456.0	2647.0	2572.0	2805.0	2762.0
460.0	2625.0	2576.0	2813.0	2773.0
464.0	2657.0	2576.0	2812.0	2767.0
468.0	2642.0	2605.0	2838.0	2775.0
472.0	2660.0	2571.0	2834.0	2802.0
476.0	2651.0	2578.0	2833.0	2776.0
480.0	2669.0	2610.0	2832.0	2778.0
484.0	2651.0	2618.0	2817.0	2785.0
488.0	2669.0	2616.0	2860.0	2770.0
492.0	2652.0	2616.0	2858.0	2786.0
496.0	2676.0	2584.0	2854.0	2778.0
500.0	2666.0	2586.0	2860.0	2794.0
504.0	2676.0	2636.0	2863.0	2756.0
508.0	2660.0	2622.0	2864.0	2786.0
512.0	2675.0	2612.0	2872.0	2798.0
516.0	2680.0	2636.0	2849.0	2811.0
520.0	2700.0	2622.0	2874.0	2817.0
524.0	2716.0	2635.0	2888.0	2820.0
528.0	2717.0	2637.0	2886.0	2826.0
532.0	2717.0	2640.0	2891.0	2816.0
536.0	2716.0	2665.0	2918.0	2837.0
540.0	2673.0	2655.0	2909.0	2834.0
544.0	2699.0	2640.0	2906.0	2850.0
548.0	2729.0	2645.0	2902.0	2855.0
552.0	2698.0	2641.0	2936.0	2842.0
556.0	2713.0	2653.0	2954.0	2846.0
560.0	2739.0	2677.0	2932.0	2862.0
564.0	2738.0	2653.0	2920.0	2884.0
568.0	2730.0	2681.0	2943.0	2840.0
572.0	2735.0	2652.0	2961.0	2880.0
576.0	2720.0	2653.0	2948.0	2856.0
580.0	2740.0	2649.0	2943.0	2892.0
584.0	2745.0	2636.0	2952.0	2864.0
588.0	2757.0	2681.0	2933.0	2880.0
592.0	2738.0	2676.0	2958.0	2879.0
596.0	2753.0	2692.0	2945.0	2903.0
600.0	2747.0	2686.0	2959.0	2886.0
604.0	2762.0	2666.0	2974.0	2871.0
608.0	2775.0	2684.0	2985.0	2896.0
612.0	2749.0	2708.0	2959.0	2906.0
616.0	2758.0	2702.0	2964.0	2897.0
620.0	2762.0	2679.0	2979.0	2916.0
624.0	2751.0	2689.0	2995.0	2894.0
628.0	2766.0	2725.0	2970.0	2899.0
632.0	2770.0	2715.0	2989.0	2913.0
636.0	2774.0	2685.0	2980.0	2902.0
640.0	2794.0	2700.0	2984.0	2903.0
644.0	2780.0	2718.0	2986.0	2923.0
648.0	2789.0	2720.0	2991.0	2922.0
652.0	2796.0	2697.0	2989.0	2923.0
656.0	2809.0	2744.0	3023.0	2928.0
660.0	2813.0	2735.0	3008.0	2968.0
664.0	2795.0	2749.0	3037.0	2944.0
668.0	2791.0	2726.0	3015.0	2925.0
672.0	2813.0	2744.0	3018.0	2932.0
676.0	2799.0	2714.0	3001.0	2959.0
680.0	2821.0	2725.0	3035.0	2937.0
684.0	2812.0	2728.0	3055.0	2943.0
688.0	2802.0	2738.0	3033.0	2944.0
692.0	2804.0	2728.0	3046.0	2952.0
696.0	2820.0	2746.0	3011.0	2952.0
700.0	2856.0	2750.0	3031.0	2950.0
704.0	2820.0	2744.0	3050.0	2977.0
708.0	2821.0	2752.0	3059.0	2982.0
712.0	2849.0	2732.0	3043.0	3007.0
716.0	2828.0	2759.0	3041.0	2938.0
720.0	2830.0	2744.0	3039.0	2987.0
724.0	2815.0	2736.0	3048.0	2975.0
728.0	2828.0	2759.0	3072.0	2969.0
732.0	2812.0	2762.0	3045.0	2987.0
736.0	2832.0	2773.0	3029.0	3022.0
740.0	2850.0	2775.0	3082.0	2986.0
744.0	2865.0	2762.0	3062.0	3031.0
748.0	2834.0	2770.0	3064.0	2980.0
752.0	2841.0	2766.0	3058.0	2999.0
756.0	2844.0	2754.0	3073.0	3004.0
760.0	2866.0	2762.0	3088.0	3004.0
764.0	2871.0	2796.0	3059.0	3000.0
768.0	2849.0	2782.0	3091.0	2998.0
772.0	2853.0	2775.0	3054.0	3006.0
776.0	2862.0	2796.0	3094.0	2999.0
780.0	2870.0	2774.0	3080.0	3026.0
784.0	2866.0	2781.0	3093.0	3053.0
788.0	2865.0	2793.0	3078.0	3000.0
792.0	2886.0	2817.0	3108.0	3013.0
796.0	2885.0	2803.0	3082.0	3029.0
800.0	2892.0	2810.0	3113.0	2991.0
804.0	2873.0	2807.0	3115.0	3034.0
808.0	2894.0	2812.0	3109.0	3041.0
