Time (min)	H01	H02	H03	H04
0.0	407.0	411.0	422.0	422.0
8.0	373.0	414.0	412.0	418.0
16.0	386.0	415.0	415.0	413.0
24.0	380.0	405.0	410.0	417.0
32.0	387.0	406.0	409.0	410.0
40.0	392.0	403.0	410.0	424.0
48.0	401.0	413.0	426.0	443.0
56.0	411.0	416.0	435.0	478.0
64.0	437.0	437.0	445.0	520.0
72.0	445.0	458.0	452.0	550.0
80.0	503.0	472.0	489.0	619.0
88.0	546.0	512.0	539.0	701.0
96.0	615.0	568.0	587.0	789.0
104.0	717.0	667.0	673.0	893.0
112.0	828.0	760.0	774.0	997.0
120.0	973.0	876.0	872.0	1124.0
128.0	1098.0	1005.0	1025.0	1263.0
136.0	1281.0	1164.0	1157.0	1373.0
144.0	1415.0	1306.0	1263.0	1490.0
152.0	1556.0	1431.0	1401.0	1593.0
160.0	1707.0	1571.0	1539.0	1710.0
168.0	1817.0	1705.0	1637.0	1795.0
176.0	1896.0	1785.0	1719.0	1859.0
184.0	2021.0	1911.0	1820.0	1922.0
192.0	2116.0	1988.0	1891.0	1985.0
200.0	2180.0	2076.0	1945.0	2030.0
208.0	2233.0	2152.0	2056.0	2114.0
216.0	2323.0	2188.0	2105.0	2114.0
224.0	2361.0	2252.0	2113.0	2168.0
232.0	2433.0	2337.0	2186.0	2191.0
240.0	2435.0	2364.0	2229.0	2212.0
248.0	2497.0	2335.0	2175.0	2232.0
256.0	2475.0	2403.0	2233.0	2233.0
264.0	2531.0	2428.0	2318.0	2251.0
272.0	2569.0	2458.0	2331.0	2258.0
