"Time [min]"	"Agitated pH 8 rep 1"	"Agitated pH 8 rep 2"	"Agitated pH 8 rep 3"	"Agitated pH 8 rep 4"	"Agitated pH 8 rep 5"	"Agitated pH 8 rep 6"	"Agitated pH 8 rep 7"	"Agitated pH 8 rep 8"	"Idle pH 8 rep 1"	"Idle pH 8 rep 2"	"Idle pH 8 rep 3"	"Idle pH 8 rep 4"	"Idle pH 8 rep 5"	"Idle pH 8 rep 6"	"Idle pH 8 rep 7"	"Idle pH 8 rep 8"	"Fit agitated"	"Fit idle"
15.2166667	0.00288310326751719	-0.00542573970918035	0.0125018942263979	0.00235970798613658	-0.0158742214795687	0.00266292922214449	-0.00386832524271838	-0.00488852677579432										
15.4	-0.00585357330071625	-0.0112131953989727	0.00189422639793908	0.00530934296880748	0.0160261279052103	0.0278906797477226	0.00826759708737871	-0.00933264202651649										
15.5833333	0.00463043858116388	0.00180857990306012	0.00340960751629035	-0.0064891969618761	-0.0189123499924048	-0.00154169586545187	-0.00386832524271838	0.0128879342270944										
15.7666667	-0.00585357330071625	-0.00253201186428416	-0.00719806031216851	0.00678416046014292	-0.00220264317180624	0.0208829712683954	0.0143355582524273	0.00399970372565002										
15.95	0.0133671151493973	-0.00253201186428416	-0.00265191695711471	-0.0168129194012242	-0.00524077168464233	0.00126138752627903	-0.00538531553398051	-0.00933264202651649										
16.1333333	-0.0163375851825964	-0.0184475150112132	0.0215941809365055	-0.0123884669272179	0.00843080662312009	0.0138752627890681	0.0143355582524273	-0.00636989852603504										
16.3166667	0.00113576795387051	0.0047023077479563	0.00947113198969541	0.00973379544281382	0.0114689351359562	0.00126138752627903	0.00978458737864085	0.00399970372565002										
16.5	-0.0110955792416563	-0.00108514794183607	0.0155326564631005	-0.00501437947054066	-0.00068357891538819	-0.0155571128241064	-0.0205552184466019	0.0114065624768536										
16.6833333	0.00113576795387051	0.0177240830499891	0.00644036975299288	0.00383452547747203	-0.0249886070180769	0.00266292922214449	-0.00993628640776692	-0.0034071550255536										
16.8666667	-0.0250742617508298	0.000361715980612023	-0.0162903470222761	-0.009438831944547	-0.00372170742822428	-0.000140154169586418	-0.00235133495145624	0.00399970372565002										
17.05	-0.00410623798706956	-0.0285755624683498	0.00644036975299288	0.0171078828994911	0.0145070636487923	-0.00854940434477913	0.00978458737864085	-0.00785127027627576										
17.2333333	0.0290931329722175	0.0191709469724372	-0.0284133959690862	0.00678416046014292	0.0190642564180464	-0.00574632095304823	0.0234375000000001	0.0128879342270944										
17.4166667	-0.00585357330071625	0.0321927222744701	0.000378845279587816	0.0171078828994911	0.005392678110284	-0.0141555711282409	0.00978458737864085	-0.00488852677579432										
17.6	0.0255984623449241	0.014830355205093	-0.00113653583876345	-0.0123884669272179	-0.0204314142488228	-0.0169586545199718	-0.0190382281553397	0.0262202799792609										
17.7833333	-0.0198322558098898	0.00325544382550821	-0.0117442036672223	0.00973379544281382	0.005392678110284	-0.00294323756131732	-0.00993628640776692	-0.00636989852603504										
17.9666667	-0.0198322558098898	0.0162772191275411	-0.010228822548871	-0.0064891969618761	0.0160261279052103	-0.00714786264891368	0.0173695388349515	-0.0034071550255536										
18.15	0.00987244452210395	0.000361715980612023	-0.00568267919381724	0.00383452547747203	-0.00827890019747842	-0.00854940434477913	-0.0129702669902912	0.00103696022516857										
18.3333333	0.0116197798357506	-0.0112131953989727	-0.0178057281406274	0.000884890494801134	0.0114689351359562	-0.00294323756131732	-0.0160042475728155	-0.00933264202651649										
18.5166667	-0.000611567359776182	-0.0141069232438689	0.00644036975299288	0.0156330654081556	-0.0158742214795687	-0.000140154169586418	0.00068264563106803	-0.00044441152507215										
18.7	0.015114450463044	-0.015553787166317	0.0170480375814517	-0.0300862768232433	0.00843080662312009	0.0138752627890681	-0.00386832524271838	-0.0108140137767572										
18.8833333	-0.00585357330071625	0.0119366273601968	-0.00871344143051977	-0.0256618243492369	0.00691174236670204	0.0124737210932027	-0.0190382281553397	0.00844381897637219										
19.0666667	0.00288310326751719	-0.00108514794183607	-0.026898014850735	-0.0271366418405724	-0.00979796445389647	0.0152768044849336	-0.0144872572815533	-0.0034071550255536										
19.25	-0.00760090861436293	-0.00108514794183607	-0.0193211092589786	-0.0064891969618761	-0.0189123499924048	0.00546601261387539	0.0204035194174758	-0.00933264202651649										
19.4333333	-0.00585357330071625	0.014830355205093	0.00492498863464161	-0.0271366418405724	-0.0158742214795687	-0.0155571128241064	0.00219963592233017	-0.0285904747796459										
