"Time [min]"	"Agitated seeds rep 1"	"Agitated seeds rep 2"	"Agitated seeds rep 3"	"Agitated seeds rep 4"	"Idle seeds rep 1"	"Idle seeds rep 2"	"Idle seeds rep 3"	"Idle seeds rep 4"	"idle fits"	"agitated fits"
0			0.508649751596877							
0.23333333			0.491350248403123							
0.46666667			0.498003903477644							
0.7			0.519295599716111							
0.93333333			0.49667317246274							
1.16666667	0.5		0.513972675656494							
1.4	0.510390689941812		0.507319020581973			0.505023183925811				
1.63333333	0.525234532715829		0.494011710432931			0.482998454404946				
1.86666667	0.550469065431659	0.48233556012333	0.519295599716111	0.498829405337912		0.511978361669243				
2.1	0.544531528322052	0.51766443987667	0.536595102909865	0.505072576869049		0.520092735703246				
2.33333333	0.511875074219214	0.519270298047276	0.488688786373314	0.480099890744498		0.536321483771252				
2.56666667	0.528203301270633	0.528905447070915	0.507319020581973	0.515998127048541	0.505769165507178	0.513137557959814		0.502459758353339		
2.8	0.5	0.541752312435766	0.523287792760823	0.501950991103481	0.500678725353786	0.49806800618238		0.497540241646661		
3.03333333	0.485156157225983	0.532117163412127	0.559217530163236	0.525362884345247	0.493552109139037	0.532843894899536		0.48376559486796		
3.26666667	0.546015912599454	0.522482014388489	0.495342441447835	0.551896363352583	0.521040485967353	0.514296754250386		0.504427565036011		
3.5	0.526718916993231	0.57065775950668	0.515303406671398	0.515998127048541	0.514931957783283	0.505023183925811		0.502459758353339		
3.73333333	0.559375371096069	0.528905447070915	0.543248757984386	0.51911971281411	0.502714901415142	0.532843894899536		0.477862174819946		
3.96666667	0.544531528322052	0.544964028776978	0.532602909865153	0.542531606055876	0.505769165507178	0.530525502318392	0.494948984745934	0.514266598449368		
4.2	0.54304714404465	0.562628468653649	0.521957061745919	0.544092398938661	0.506787253537856	0.495749613601236	0.505051015254066	0.506395371718682		
4.43333333	0.529687685548035	0.541752312435766	0.535264371894961	0.530045262993601	0.507805341568534	0.517774343122102	0.501262753813516	0.489669014915975		
4.66666667	0.540078375489847	0.562628468653649	0.523287792760823	0.536288434524739	0.525112838090067	0.531684698608964	0.501262753813516	0.493604628281318		
4.9	0.544531528322052	0.565840184994861	0.565871185237757	0.553457156235368	0.507805341568534	0.49806800618238	0.505051015254066	0.528041245228069		
5.13333333	0.571250445315283	0.569051901336074	0.559217530163236	0.562821913532074	0.517986221875318	0.508500772797527	0.518941307202748	0.522137825180054		
5.36666667	0.548984681154257	0.55299331963001	0.551233144073811	0.540970813173092	0.488461668985645	0.508500772797527	0.502525507627033	0.489669014915975		
5.6	0.554922218263864	0.597957348406989	0.563209723207949	0.542531606055876	0.503732989445821	0.505023183925811	0.507576522881099	0.496556338305325		
5.83333333	0.560859755373471	0.549781603288798	0.561878992193045	0.540970813173092	0.509841517629891	0.514296754250386	0.526517830083847	0.50934708174269		
6.06666667	0.586094288089301	0.596351490236382	0.571194109297374	0.56126112064929	0.51085960566057	0.517774343122102	0.501262753813516	0.497540241646661		
6.3	0.548984681154257	0.562628468653649	0.531272178850248	0.520680505696894	0.528167102182102	0.523570324574961	0.541670875846045	0.493604628281318		
6.53333333	0.571250445315283	0.564234326824255	0.552563875088715	0.539410020290307	0.509841517629891	0.495749613601236	0.507576522881099	0.506395371718682		
6.76666667	0.608360052250327	0.596351490236382	0.563209723207949	0.578429842359919	0.505769165507178	0.525888717156105	0.540408122032529	0.505411468377347		
7	0.569766061037881	0.581898766700925	0.559217530163236	0.586233806773841	0.505769165507178	0.527047913446677	0.511364784321649	0.511314888425361		
7.23333333	0.57718798242489	0.617227646454265	0.565871185237757	0.539410020290307	0.497624461261751	0.509659969088099	0.50378826144055	0.507379275060018		
7.46666667	0.586094288089301	0.59313977389517	0.568532647267566	0.590916185422194	0.526130926120745	0.505023183925811	0.518941307202748	0.524105631862726		
7.7	0.597969362308514	0.620439362795478	0.616438963804116	0.536288434524739	0.47929887670954	0.501545595054096	0.505051015254066	0.526073438545397		
7.93333333	0.60242251514072	0.577081192189106	0.580509226401703	0.579990635242703	0.520022397936675	0.513137557959814	0.530306091524396	0.508363178401354		
8.16666667	0.61132882080513	0.604380781089414	0.607123846699787	0.597159356953332	0.517986221875318	0.522411128284389	0.526517830083847	0.530992955252076		
8.4	0.595000593753711	0.604380781089414	0.605793115684883	0.60340252848447	0.507805341568534	0.492272024729521	0.507576522881099	0.53000905191074		
8.63333333	0.597969362308514	0.644527235354574	0.58583215046132	0.570625877945997	0.51696813384464	0.486476043276661	0.535357106778462	0.534928568617419		
8.86666667	0.61132882080513	0.649344809866393	0.597808729595458	0.592476978304979	0.512895781721926	0.492272024729521	0.52904333771088	0.52312172852139		
9.1	0.587578672366702	0.630074511819116	0.607123846699787	0.594037771187763	0.521040485967353	0.517774343122102	0.521466814829781	0.519186115156047		
9.33333333	0.614297589359934	0.615621788283659	0.595147267565649	0.583112221008272	0.52307666202871	0.517774343122102	0.536619860591979	0.515250501790704		
9.56666667	0.614297589359934	0.64613309352518	0.603131653655075	0.597159356953332	0.499660637323107	0.524729520865533	0.5	0.554606635444134		
9.8	0.646954043462772	0.649344809866393	0.592485805535841	0.623692835960668	0.513913869752605	0.530525502318392	0.541670875846045	0.535912471958755		
10.0333333	0.617266357914737	0.655768242548818	0.628415542938254	0.600280942718901	0.521040485967353	0.514296754250386	0.522729568643297	0.511314888425361		
10.2666667	0.617266357914737	0.630074511819116	0.599139460610362	0.597159356953332	0.515950045813961	0.53516228748068	0.556823921608243	0.540831988665433		
10.5	0.635078969243558	0.634892086330935	0.612446770759404	0.633057593257375	0.525112838090067	0.518933539412674	0.501262753813516	0.535912471958755		
10.7333333	0.652891580572379	0.642921377183967	0.631077004968063	0.606524114250039	0.512895781721926	0.513137557959814	0.512627538135165	0.530992955252076		
10.9666667	0.633594584966156	0.68146197327852	0.6111160397445	0.61744966442953	0.52918519021278	0.527047913446677	0.541670875846045	0.538864181982762		
11.2	0.626172663579147	0.642921377183967	0.619100425833925	0.64554393631965	0.527149014151424	0.531684698608964	0.510102030508132	0.547719312054784		
11.4333333	0.635078969243558	0.64613309352518	0.633738466997871	0.633057593257375	0.526130926120745	0.550231839258114	0.547984644913628	0.522137825180054		
11.6666667	0.636563353520959	0.647738951695786	0.6111160397445	0.643983143436866	0.513913869752605	0.536321483771252	0.565663198302859	0.530992955252076		
11.9	0.663282270514191	0.650950668036999	0.6430535841022	0.637739971905728	0.509841517629891	0.515455950540958	0.58713001313264	0.525089535204062		
12.1333333	0.676641729010806	0.675038540596095	0.657691625266146	0.64554393631965	0.528167102182102	0.524729520865533	0.563137690675826	0.535912471958755		
12.3666667	0.690001187507422	0.687885405960946	0.641722853087296	0.642422350554081	0.539366070519564	0.531684698608964	0.551772906354177	0.544767602030777		
12.6	0.681094881843011	0.692702980472765	0.660353087295955	0.633057593257375	0.502714901415142	0.514296754250386	0.540408122032529	0.517218308473376		
12.8333333	0.667735423346396	0.71679085303186	0.632407735982967	0.636179179022944	0.495588285200394	0.549072642967542	0.588392766946156	0.526073438545397		
